17.1294 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
17.1295 	EXP 	window1: mouseVisible = True
17.1326 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0102 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
0.0245 	EXP 	grating: ori = -10.0
0.0245 	EXP 	fixation: autoDraw = True
0.5237 	INFO 	Keyboard events cleared
0.5235 	EXP 	grating: autoDraw = True
0.5235 	EXP 	grating: tex = 'sin'
0.5408 	EXP 	fixation: autoDraw = False
0.7834 	DATA 	Keypress: left
0.7896 	EXP 	fixation: autoDraw = False
0.7896 	EXP 	grating: autoDraw = False
0.7896 	EXP 	grating: ori = -8.0
0.7896 	EXP 	fixation: autoDraw = True
1.0144 	DATA 	Keypress: right
1.2915 	INFO 	Keyboard events cleared
1.2910 	EXP 	fixation: autoDraw = False
1.2910 	EXP 	grating: autoDraw = True
1.4319 	DATA 	Keypress: left
1.4400 	EXP 	fixation: autoDraw = False
1.4400 	EXP 	grating: autoDraw = False
1.4400 	EXP 	grating: ori = 6.0
1.4400 	EXP 	fixation: autoDraw = True
1.6766 	DATA 	Keypress: right
1.9403 	INFO 	Keyboard events cleared
1.9399 	EXP 	fixation: autoDraw = False
1.9399 	EXP 	grating: autoDraw = True
2.0791 	DATA 	Keypress: left
2.0893 	EXP 	fixation: autoDraw = False
2.0893 	EXP 	grating: autoDraw = False
2.0893 	EXP 	grating: ori = -7.0
2.0893 	EXP 	fixation: autoDraw = True
2.3112 	DATA 	Keypress: right
2.5897 	INFO 	Keyboard events cleared
2.5892 	EXP 	fixation: autoDraw = False
2.5892 	EXP 	grating: autoDraw = True
2.6118 	DATA 	Keypress: left
2.6221 	EXP 	fixation: autoDraw = False
2.6221 	EXP 	grating: autoDraw = False
2.6221 	EXP 	grating: ori = -7.0
2.6221 	EXP 	fixation: autoDraw = True
2.8939 	DATA 	Keypress: right
