stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,1,14.0,11.016136599995662,,11.00321540000732,11.016136599995662,11.51612980000209,11.51612980000209,11.51612980000209,,11.719296399998711,left,-14.0,1,1,0.19706559999031015,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
16,1,14.0,11.732309400016675,,11.71937710000202,11.732309400016675,12.23212160001276,12.23212160001276,12.23212160001276,,12.334986900008516,right,14.0,0,0,0.09049699999741279,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
17,1,15.0,12.348913699999684,,12.335044400009792,12.348913699999684,12.849212400004035,12.849212400004035,12.864861100009875,,12.950525799999014,right,15.0,0,0,0.08744509998359717,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
18,1,16.0,12.964790800004266,,12.950590699998429,12.964790800004266,13.464575100020738,13.464575100020738,13.464575100020738,,13.61731190001592,left,-16.0,1,1,0.13998169999103993,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
19,1,16.0,13.630739300017012,,13.61736960001872,13.630739300017012,14.13060730000143,14.13060730000143,14.13060730000143,,14.21984980002162,right,16.0,0,0,0.0875388000276871,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
20,1,17.0,14.230796799995005,,14.219942499999888,14.230796799995005,14.730145900015486,14.730145900015486,14.730145900015486,,14.900568200013367,left,-17.0,1,1,0.16276549999020062,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
21,1,17.0,14.91338850001921,,14.900641800020821,14.91338850001921,15.412705700000515,15.412705700000515,15.412705700000515,,15.565929200005485,right,17.0,0,0,0.13664280000375584,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
22,1,18.0,15.580263800016837,,15.565992000018014,15.580263800016837,16.078915599995526,16.078915599995526,16.078915599995526,,16.264729700022144,left,-18.0,1,1,0.17342740000458434,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
23,1,18.0,16.278370400017593,,16.264785400009714,16.278370400017593,16.777959900005953,16.777959900005953,16.777959900005953,,16.948471100011375,left,-18.0,1,1,0.16879989998415112,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
24,1,18.0,16.961031700018793,,16.948525800020434,16.961031700018793,17.461288599995896,17.461288599995896,17.461288599995896,,17.48059540000395,left,-18.0,1,1,0.017816899984609336,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
